score	atom_pair_constraint	rms_core_low	description
-210.213	-89.546	4.309	S_0001_0001
-222.585	-86.529	2.807	S_0001_1_0001
-223.505	-83.640	0.917	S_0002_0001
-209.825	-88.216	4.007	S_0002_1_0001
-213.691	-76.354	1.753	S_0003_0001
-193.039	-86.678	2.819	S_0003_1_0001
-212.555	-80.864	2.284	S_0004_0001
-212.198	-85.438	1.961	S_0004_1_0001
-216.135	-76.966	3.467	S_0005_0001
-214.486	-82.074	3.759	S_0005_1_0001
-210.631	-87.095	4.097	S_0006_0001
-220.180	-82.764	2.057	S_0006_1_0001
-230.781	-85.310	2.045	S_0007_0001
-213.562	-85.787	2.613	S_0007_1_0001
-210.332	-83.467	1.698	S_0008_0001
-218.163	-85.639	2.766	S_0008_1_0001
-228.080	-83.670	2.274	S_0009_0001
-216.399	-84.753	2.803	S_0009_1_0001
-209.663	-86.342	2.988	S_0010_0001
-194.927	-77.379	2.700	S_0010_1_0001
-224.428	-83.964	2.950	S_0011_0001
-220.212	-88.952	3.187	S_0011_1_0001
-213.499	-82.123	3.253	S_0012_0001
-219.328	-85.093	2.766	S_0012_1_0001
-213.153	-80.339	1.370	S_0013_0001
-212.823	-86.890	3.316	S_0013_1_0001
-211.934	-84.774	2.828	S_0014_0001
-226.602	-84.759	1.721	S_0014_1_0001
-216.507	-86.153	2.724	S_0015_0001
-205.170	-86.469	2.064	S_0015_1_0001
-215.968	-84.708	1.499	S_0016_0001
-201.837	-86.283	2.415	S_0016_1_0001
-226.255	-84.666	2.474	S_0017_0001
-219.488	-85.407	2.479	S_0017_1_0001
-222.432	-84.297	1.841	S_0018_0001
-214.728	-85.005	3.015	S_0018_1_0001
-208.419	-86.183	1.713	S_0019_0001
-204.788	-77.405	2.782	S_0019_1_0001
-223.783	-88.784	2.133	S_0020_0001
-195.665	-87.931	3.104	S_0020_1_0001
-231.401	-92.099	4.980	S_0021_0001
-206.157	-87.179	4.493	S_0021_1_0001
-219.030	-80.801	3.403	S_0022_0001
-220.486	-86.145	2.675	S_0022_1_0001
-231.776	-84.099	1.585	S_0023_0001
-222.569	-85.116	1.601	S_0023_1_0001
-213.339	-83.045	2.148	S_0024_0001
-216.275	-85.485	2.030	S_0024_1_0001
-221.829	-86.524	2.391	S_0025_0001
-211.637	-83.116	2.713	S_0025_1_0001
-196.826	-81.788	2.870	S_0026_0001
-221.916	-81.379	2.144	S_0026_1_0001
-207.000	-80.374	4.109	S_0027_0001
-225.870	-83.693	0.893	S_0027_1_0001
-206.759	-89.687	2.325	S_0028_0001
-220.190	-83.589	1.252	S_0028_1_0001
-216.167	-90.676	2.735	S_0029_0001
