SEQUENCE: 
SCORE: total_score avg_degree complex_normalized           dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_fa13    fa_atr    fa_dun   fa_elec fa_intra_rep       fa_rep       fa_sol hbond_E_fraction hbond_bb_sc hbond_lr_bb    hbond_sc hbond_sr_bb    nres_all    nres_int       omega     p_aa_pp    packstat per_residue_energy_int pro_close      rama       ref      rmsd  sc_value side1_normalized side1_score side2_normalized side2_score description 
SCORE:   -1209.839     13.909             -1.662              0.000              0.000       -9.117                 -1.184       470.061   769.725     299.664             2.000    -6.555 -2772.390   679.674  -296.427        5.922      262.329     1543.792            0.251    -109.347    -199.164     -79.106    -125.451     728.000      33.000      63.143    -111.924       0.000                 -1.433     3.386   -35.186   -32.534    11.799     0.746           -1.831     -34.791           -0.893     -12.508 3gbm_HA_3gbn_Ab_full_0001_0001
SCORE:   -1211.051     14.241             -1.664              0.000              0.000      -11.026                 -1.032       694.099  1067.868     373.769             2.000    -6.458 -2768.161   683.313  -304.963        5.905      254.935     1545.263            0.288    -107.337    -199.366     -82.448    -122.917     728.000      39.000      66.139    -109.285       0.000                 -1.490     3.537   -36.674   -32.534     7.773     0.682           -1.896     -43.602           -0.907     -14.513 3gbm_HA_3gbn_Ab_full_0002_0001
SCORE:   -1217.383     13.818             -1.672              0.000              0.000      -10.248                 -1.129       633.186   907.379     274.193             6.000    -6.697 -2761.957   679.299  -300.629        5.900      255.267     1535.289            0.058    -107.117    -200.251     -82.339    -125.277     728.000      37.000      64.866    -109.610       0.000                 -1.661     3.508   -35.101   -32.534    16.890     0.601           -2.171     -43.424           -1.061     -18.043 3gbm_HA_3gbn_Ab_full_0004_0001
SCORE:   -1200.484     14.115             -1.649             -0.284             -0.029       -6.223                 -0.636       718.566   978.796     260.230             9.000    -6.483 -2766.490   685.472  -300.744        5.917      261.879     1545.434            0.335    -109.040    -198.549     -84.109    -124.373     728.000      41.000      65.418    -110.207       0.000                 -1.393     3.191   -35.264   -32.534     3.544     0.584           -1.633     -37.558           -1.087     -19.567 3gbm_HA_3gbn_Ab_full_0005_0001
SCORE:   -1211.447     14.520             -1.664              0.000              0.000      -11.201                 -1.210       683.554   925.808     242.255             0.000    -6.472 -2782.717   685.409  -303.367        5.900      261.236     1552.510            0.074    -112.535    -199.039     -79.474    -124.542     728.000      32.000      64.939    -108.417       0.000                 -1.666     3.236   -35.579   -32.534     8.461     0.698           -2.162     -41.080           -0.940     -12.224 3gbm_HA_3gbn_Ab_full_0006_0001
SCORE:   -1206.742     15.429             -1.658              0.000              0.000      -11.141                 -1.059       589.541  1051.943     462.402             8.000    -6.533 -2784.741   683.692  -300.817        5.938      265.257     1557.345            0.193    -109.911    -198.418     -83.540    -126.467     728.000      38.000      65.576    -107.455       0.000                 -1.512     3.248   -37.381   -32.534     8.965     0.569           -1.931     -38.612           -1.047     -18.852 3gbm_HA_3gbn_Ab_full_0007_0001
SCORE:   -1207.128     14.900             -1.658             -9.607             -0.972      -12.184                 -1.233       592.497   987.907     395.410             5.000    -6.472 -2783.786   680.870  -298.849        5.845      261.047     1557.329            0.195    -117.807    -197.427     -75.260    -124.164     728.000      48.000      66.008    -108.149       0.000                 -1.597     3.210   -36.989   -32.534     4.575     0.560           -1.599     -43.177           -1.594     -33.484 3gbm_HA_3gbn_Ab_full_0008_0001
SCORE:   -1216.726     13.650             -1.671             -6.091             -0.390      -20.098                 -1.288      1062.379  1560.717     498.338             5.000    -6.478 -2790.597   687.650  -295.722        5.926      263.999     1544.702            0.235    -115.892    -199.395     -76.817    -123.728     728.000      60.000      63.801    -109.533       0.000                 -1.682     3.523   -35.630   -32.534     0.597     0.742           -1.892     -68.105           -1.368     -32.838 3gbm_HA_3gbn_Ab_full_0010_0001
SCORE:   -1217.089     14.146             -1.672             -6.295             -0.424      -24.143                 -1.625       969.791  1485.670     515.878             5.000    -6.511 -2778.682   685.175  -301.315        5.899      266.291     1545.148            0.332    -116.910    -200.003     -81.092    -124.468     728.000      64.000      63.046    -109.114       0.000                 -1.694     3.151   -35.171   -32.534     0.797     0.683           -1.933     -77.310           -1.297     -31.124 3gbm_HA_3gbn_Ab_full_0011_0001
SCORE:   -1216.989     13.805             -1.672             -7.549             -0.456      -24.751                 -1.495      1108.309  1655.257     546.948             9.000    -6.470 -2792.421   682.830  -295.823        5.867      263.883     1549.730            0.293    -115.252    -199.263     -79.834    -122.507     728.000      62.000      66.045    -108.401       0.000                 -1.820     3.402   -36.241   -32.534     0.572     0.704           -2.046     -77.737           -1.463     -35.113 3gbm_HA_3gbn_Ab_full_0012_0001
