SMILES	synton_id	synton#	reaction_id
CN(C)C(=O)Cl	0	1	amide_formation
CCCCCCCCC(=O)Cl	1	1	amide_formation
O=C(Cl)c1cc(C(=O)Cl)cc(C(=O)Cl)c1	2	1	amide_formation
CCN(CC)C(=O)Cl	3	1	amide_formation
O=C(Cl)c1ccc([N+](=O)[O-])o1	4	1	amide_formation
CC(CC(=O)Cl)CC(C)(C)C	5	1	amide_formation
Cc1onc(-c2ccccc2)c1C(=O)Cl	6	1	amide_formation
CCCCCCCCCCCC(=O)Cl	7	1	amide_formation
O=C(Cl)CCl	8	1	amide_formation
O=C(Cl)OCCOCCOC(=O)Cl	9	1	amide_formation
O=C(Cl)C(Cl)Cl	10	1	amide_formation
O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O	11	1	amide_formation
Cn1cc(C(=O)Cl)cc1/C=C/C(=O)NO	12	1	amide_formation
CCCCC(=O)Cl	13	1	amide_formation
CSCCC(=O)Cl	14	1	amide_formation
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Cl	15	1	amide_formation
Cc1c(CC(=O)Cl)csc1C(=O)CCl	16	1	amide_formation
O=C(Cl)N1c2ccccc2C=Cc2ccccc21	17	1	amide_formation
O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O	18	1	amide_formation
CCCC(=O)Cl	19	1	amide_formation
O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O	20	1	amide_formation
CCCCC(CC)C(=O)Cl	21	1	amide_formation
COc1cc(C(=O)Cl)c(OC)c(OC)c1OC	22	1	amide_formation
O=C(Cl)c1cccc([N+](=O)[O-])c1	23	1	amide_formation
Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2	24	1	amide_formation
O=C(Cl)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1	25	1	amide_formation
O=C(Cl)CCCCCCCC(=O)Cl	26	1	amide_formation
O=C(Cl)c1ccc2occc(=O)c2c1	27	1	amide_formation
O=C(Cl)C1=Cc2ccccc2CC1=O	28	1	amide_formation
O=C(Cl)Cc1ccc2c(c1)C(=O)c1sccc1CO2	29	1	amide_formation
O=C(Cl)N1c2ccccc2Oc2ccccc21	30	1	amide_formation
CCCCCCCC(=O)Cl	31	1	amide_formation
CC(=O)NCC(N)C(=O)c1ccc(Cl)c(Cl)c1	32	2	amide_formation
NCc1c(OCCO)cncc1OCCO	33	2	amide_formation
NCc1ccc(-c2cnccc2-c2cncnc2)o1	34	2	amide_formation
NCc1cn(-c2ccc(S(N)(=O)=O)cc2)nn1	35	2	amide_formation
NC(=O)C(N)Cc1c[nH]c2ccc(F)cc12	36	2	amide_formation
COC(=O)/C=C/C(=O)NC[C@H](N)C(=O)OCC(N)=O	37	2	amide_formation
NCc1ccc(-c2cnccc2-c2ccco2)o1	38	2	amide_formation
C[C@H](N)C(=O)Nc1ccccc1-c1nc2ccccc2s1	39	2	amide_formation
NC1CCc2cccc(-c3cncnc3)c2CC1=O	40	2	amide_formation
NCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO	41	2	amide_formation
COC(=O)CCCCCC(=O)C(N)CO	42	2	amide_formation
CC(N)C(=O)NNc1nncc(-c2ccc(Cl)cc2)n1	43	2	amide_formation
NNC(N)Nc1ccccc1	44	2	amide_formation
NC1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21	45	2	amide_formation
CSCCC(N)C(=O)NO	46	2	amide_formation
CC(C)[C@H](N)c1nnc(SC/C=C/c2ccccc2)o1	47	2	amide_formation
NCc1cc(C(N)=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1	48	2	amide_formation
Cc1cccc(Cl)c1NC(=O)CN	49	2	amide_formation
Cc1ccc(C)c(NC(=O)C(C)N)c1C	50	2	amide_formation
CCc1cccc(C)c1NC(=O)C(N)CC	51	2	amide_formation
CCC(C)[C@H](N)C(=O)N1CCCN1C(=O)c1ccccc1	52	2	amide_formation
NC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O	53	2	amide_formation
NCc1ccc(-c2cnccc2-c2ccccc2)o1	54	2	amide_formation
CC1(C)CC1(C#N)NC(=O)[C@@H](N)Cc1cccs1	55	2	amide_formation
