tag	atom_pair_constraint	score
S_0083_1	-153.929	52.749
S_0083_2	-150.877	105.041
S_0083_3	-147.28	180.459
S_0083_4	-129.55	87.821
S_0128_1	-153.496	73.4
S_0025_1	-196.503	-54.475
S_0025_2	-182.278	-39.143
S_0025_3	-177.499	28.452
S_0025_4	-190.298	-22.402
S_0128_2	-177.663	31.848
S_0151_1	-189.76	-21.859
S_0128_3	-182.791	3.053
S_0151_2	-187.277	26.145
S_0162_2	-176.037	16.083
S_0128_4	-141.298	102.431
S_0081_4	-147.462	66.367
S_0100_1	-180.071	9.651
S_0081_2	-182.102	12.13
S_0081_3	-158.209	21.677
S_0081_1	-172.471	-9.343
S_0027_4	-161.297	47.84
S_0170_4	-175.011	-33.577
S_0027_2	-171.772	28.45
S_0027_3	-184.498	-37.941
S_0027_1	-134.401	77.906
S_0170_3	-156.303	60.568
S_0170_2	-191.826	-38.19
S_0029_4	-132.823	88.574
S_0103_1	-182.637	5.173
S_0029_1	-180.706	4.338
S_0029_2	-178.801	6.03
S_0029_3	-166.405	16.052
S_0026_2	-190.894	-10.902
S_0103_3	-154.282	17.332
S_0073_2	-153.604	85.024
S_0103_2	-190.43	-28.606
S_0134_3	-150.635	94.821
S_0103_4	-191.518	36.118
S_0149_3	-193.933	-21.065
S_0089_4	-172.025	-1.732
S_0089_2	-110.385	171.661
S_0089_3	-148.543	27.118
S_0089_1	-162.585	39.421
S_0149_1	-150.446	95.476
S_0087_4	-170.769	11.331
S_0087_1	-163.566	9.788
S_0087_2	-184.334	-24.448
S_0087_3	-137.478	115.296
S_0021_4	-133.793	126.36
S_0021_1	-142.134	117.97
S_0021_2	-159.463	5.33
S_0021_3	-174.218	-38.242
S_0085_2	-173.912	49.655
S_0085_3	-178.479	42.024
S_0085_1	-168.687	12.616
S_0170_1	-162.224	46.655
S_0085_4	-156.995	83.838
S_0023_2	-187.603	-7.542
S_0023_3	-140.921	114.664
S_0197_4	-168.278	-11.923
S_0023_1	-186.635	-38.492
S_0023_4	-124.397	108.435
S_0169	-187.711	-3.323
S_0168	-156.758	75.818
S_0167	-149.842	74.577
S_0003_1	-160.505	-0.276
S_0003_2	-177.135	-17.084
S_0003_3	-186.82	-45.0
S_0003_4	-165.55	1.438
S_0162	-189.805	-36.173
S_0161	-166.264	-9.33
S_0160	-196.162	-40.426
S_0119	-193.08	-43.02
S_0146_3	-177.599	7.041
S_0100_2	-192.777	8.398
S_0122_2	-180.184	-1.618
S_0001_4	-147.04	82.685
S_0001_2	-191.777	45.017
S_0001_3	-172.396	23.037
S_0001_1	-177.014	-17.775
S_0178	-159.659	33.186
S_0159_3	-147.924	42.319
S_0178_3	-189.144	13.621
S_0174_2	-197.417	-4.175
S_0123	-159.925	34.575
S_0146_4	-146.5	87.033
S_0113	-182.099	10.361
S_0122_3	-156.167	107.349
S_0123_4	-180.264	-14.447
S_0179	-169.396	8.834
S_0123_3	-188.769	69.515
S_0178_2	-155.213	75.186
S_0123_2	-196.455	-6.94
S_0101_4	-182.953	-17.992
S_0123_1	-196.309	-37.169
S_0101_3	-143.366	78.509
S_0115	-159.547	11.748
S_0101_2	-190.323	-25.132
S_0101_1	-153.89	40.9
S_0007_4	-185.126	-11.217
S_0007_1	-142.895	36.107
S_0007_2	-190.946	-4.233
S_0007_3	-190.608	-29.435
S_0044	-191.704	-44.006
S_0045	-173.084	73.722
S_0046	-178.593	21.432
S_0047	-179.654	8.959
S_0040	-115.665	130.479
S_0041	-192.67	0.368
S_0042	-159.205	72.684
S_0043	-150.454	96.864
S_0005_2	-182.672	-8.93
S_0005_3	-179.161	-29.66
S_0005_1	-187.809	-40.026
S_0048	-174.661	-14.939
S_0049	-199.269	-37.977
S_0005_4	-180.401	0.971
S_0024_1	-189.52	-23.789
S_0187_1	-161.432	16.216
S_0187_3	-182.698	-11.028
S_0148_3	-169.06	103.667
S_0069_1	-185.291	115.602
S_0069_2	-178.395	22.986
S_0069_3	-167.25	44.605
S_0069_4	-190.038	23.86
S_0185_3	-171.45	-27.129
S_0185_2	-189.501	-42.519
S_0185_1	-193.006	-69.62
S_0024_2	-166.023	1.187
S_0122	-186.843	-15.999
S_0185_4	-183.718	-49.767
S_0138_4	-174.802	57.159
S_0183_1	-144.847	124.572
S_0159_1	-194.74	-36.661
S_0144_4	-168.815	37.018
S_0183_2	-162.229	16.436
S_0144_2	-186.926	-25.29
S_0144_3	-194.072	-49.379
S_0144_1	-134.875	96.281
S_0009_4	-184.901	0.89
S_0009_2	-182.934	-3.185
S_0009_3	-196.308	-18.032
S_0009_1	-188.585	23.553
S_0065_4	-173.311	40.159
S_0065_1	-151.029	118.941
S_0065_2	-164.185	31.004
S_0065_3	-167.57	-6.54
S_0086_2	-173.507	1.05
S_0181_3	-176.287	8.743
S_0181_2	-182.123	-12.87
S_0181_1	-168.83	56.052
S_0155_1	-185.068	-39.411
S_0188_4	-167.429	8.254
S_0188_2	-151.366	116.225
S_0171_4	-199.186	-67.824
S_0188_1	-112.56	182.809
S_0171_2	-153.016	47.989
S_0147	-178.364	24.533
S_0171_3	-187.216	0.92
S_0155_2	-172.831	77.454
S_0142_4	-155.018	88.981
S_0171_1	-184.523	-28.04
S_0142_1	-194.039	-34.896
S_0142_2	-169.767	11.01
S_0142_3	-190.061	-36.741
S_0155_3	-165.805	44.134
S_0084_3	-179.496	23.723
S_0084_2	-173.061	38.888
S_0140_2	-177.861	24.148
S_0140_3	-190.464	-2.029
S_0140_1	-149.842	76.432
S_0084_1	-192.908	-49.87
S_0140_4	-185.683	2.161
S_0067_2	-177.787	-2.165
S_0067_3	-178.569	32.395
S_0024_3	-185.716	-15.59
S_0067_1	-197.42	-8.728
S_0024_4	-139.578	111.01
S_0067_4	-159.471	115.846
S_0124	-165.554	47.517
S_0129_3	-108.043	169.645
S_0061_1	-171.852	28.183
S_0061_2	-183.781	14.501
S_0061_3	-177.649	34.084
S_0061_4	-179.374	-26.122
S_0197_1	-177.415	-66.118
S_0148	-179.919	2.191
S_0054_4	-184.525	-8.957
S_0026_4	-147.398	94.273
S_0026_3	-192.621	-28.881
S_0054_1	-149.218	77.95
S_0026_1	-141.171	111.45
S_0054_3	-167.414	24.089
S_0155_4	-169.98	119.332
S_0129_2	-178.888	-10.448
S_0056_2	-182.216	3.7
S_0056_3	-186.841	13.698
S_0063_4	-162.035	33.385
S_0056_1	-188.446	19.005
S_0063_2	-185.904	14.336
S_0063_3	-147.887	66.432
S_0056_4	-192.87	-30.816
S_0063_1	-144.757	111.876
S_0160_4	-146.491	52.8
S_0054_2	-170.231	42.665
S_0134_4	-182.396	-24.022
S_0160_3	-155.323	81.244
S_0050_1	-171.384	8.431
S_0050_2	-194.955	-49.904
S_0050_3	-178.246	-10.529
S_0050_4	-190.306	-6.704
S_0156	-173.591	24.127
S_0058_1	-180.801	-4.207
S_0058_2	-186.242	-27.299
S_0058_3	-193.315	-42.455
