tag	rms_TM	score
S_0083_1	11.276	52.749
S_0083_2	16.49	105.041
S_0083_3	18.566	180.459
S_0083_4	13.908	87.821
S_0128_1	13.051	73.4
S_0025_1	4.122	-54.475
S_0025_2	7.513	-39.143
S_0025_3	8.379	28.452
S_0025_4	4.697	-22.402
S_0128_2	8.799	31.848
S_0151_1	7.766	-21.859
S_0128_3	6.173	3.053
S_0151_2	11.346	26.145
S_0162_2	4.534	16.083
S_0128_4	17.345	102.431
S_0081_4	14.031	66.367
S_0100_1	7.785	9.651
S_0081_2	9.651	12.13
S_0081_3	7.905	21.677
S_0081_1	6.131	-9.343
S_0027_4	9.521	47.84
S_0170_4	7.243	-33.577
S_0027_2	6.808	28.45
S_0027_3	7.513	-37.941
S_0027_1	17.33	77.906
S_0170_3	6.041	60.568
S_0170_2	4.584	-38.19
S_0029_4	12.603	88.574
S_0103_1	7.011	5.173
S_0029_1	7.639	4.338
S_0029_2	7.438	6.03
S_0029_3	5.738	16.052
S_0026_2	8.062	-10.902
S_0103_3	9.318	17.332
S_0073_2	17.093	85.024
S_0103_2	6.934	-28.606
S_0134_3	15.774	94.821
S_0103_4	10.025	36.118
S_0149_3	5.242	-21.065
S_0089_4	8.622	-1.732
S_0089_2	18.254	171.661
S_0089_3	9.228	27.118
S_0089_1	8.073	39.421
S_0149_1	16.722	95.476
S_0087_4	8.238	11.331
S_0087_1	8.689	9.788
S_0087_2	6.43	-24.448
S_0087_3	16.037	115.296
S_0021_4	18.167	126.36
S_0021_1	15.766	117.97
S_0021_2	9.227	5.33
S_0021_3	7.003	-38.242
S_0085_2	7.785	49.655
S_0085_3	10.252	42.024
S_0085_1	5.419	12.616
S_0170_1	8.062	46.655
S_0085_4	14.45	83.838
S_0023_2	5.651	-7.542
S_0023_3	15.19	114.664
S_0197_4	7.955	-11.923
S_0023_1	5.353	-38.492
S_0023_4	15.587	108.435
S_0169	12.296	-3.323
S_0168	14.294	75.818
S_0167	16.306	74.577
S_0003_1	9.715	-0.276
S_0003_2	5.728	-17.084
S_0003_3	5.451	-45.0
