score	atom_pair_constraint	rms_TM_low	description
-207.628	-174.508	11.693	S_0001_0001
-243.107	-177.014	8.081	S_0001_1_0001
-210.532	-191.777	8.545	S_0001_2_0001
-217.124	-172.396	6.105	S_0001_3_0001
-144.790	-147.040	14.778	S_0001_4_0001
-238.410	-192.806	9.499	S_0002_0001
-212.673	-176.180	6.275	S_0002_1_0001
-256.248	-197.197	4.128	S_0002_2_0001
24794.692	-157.089	16.638	S_0002_3_0001
24690.395	-157.022	17.202	S_0002_4_0001
-238.112	-187.355	3.520	S_0003_0001
-218.743	-160.505	9.645	S_0003_1_0001
-228.162	-177.135	5.905	S_0003_2_0001
-259.831	-186.820	3.415	S_0003_3_0001
-220.634	-165.550	9.166	S_0003_4_0001
-241.557	-192.929	3.631	S_0004_0001
-260.062	-182.252	6.951	S_0004_1_0001
-193.447	-154.744	9.929	S_0004_2_0001
-210.832	-178.954	11.088	S_0004_3_0001
-249.506	-167.521	8.148	S_0004_4_0001
-258.817	-184.911	4.179	S_0005_0001
-252.562	-187.809	4.548	S_0005_1_0001
-239.308	-182.672	6.130	S_0005_2_0001
-243.278	-179.161	3.951	S_0005_3_0001
-243.564	-180.401	6.236	S_0005_4_0001
24695.009	-144.329	15.969	S_0006_0001
-210.514	-161.122	10.648	S_0006_1_0001
-208.145	-168.947	11.731	S_0006_2_0001
-239.184	-185.537	4.807	S_0006_3_0001
-232.930	-178.555	8.374	S_0006_4_0001
-210.959	-152.481	8.572	S_0007_0001
-199.601	-142.895	8.299	S_0007_1_0001
-249.401	-190.946	8.928	S_0007_2_0001
-253.413	-190.608	6.254	S_0007_3_0001
-241.442	-185.126	10.178	S_0007_4_0001
-160.391	-157.359	15.154	S_0008_0001
-242.677	-186.682	4.864	S_0008_1_0001
-205.981	-188.214	7.632	S_0008_2_0001
-204.143	-151.832	7.846	S_0008_3_0001
-213.947	-190.907	10.051	S_0008_4_0001
-151.824	-161.001	15.370	S_0009_0001
-224.400	-188.585	9.890	S_0009_1_0001
-217.745	-182.934	8.578	S_0009_2_0001
-233.535	-196.308	5.653	S_0009_3_0001
-213.823	-184.901	10.879	S_0009_4_0001
-209.190	-181.899	5.471	S_0010_0001
-241.057	-187.437	8.887	S_0010_1_0001
-237.355	-184.713	7.461	S_0010_2_0001
-219.780	-179.151	6.783	S_0010_3_0001
-245.569	-182.529	8.687	S_0010_4_0001
-205.018	-179.369	9.571	S_0011_0001
-242.893	-186.056	7.011	S_0011_1_0001
-177.523	-183.419	13.799	S_0011_2_0001
-231.152	-183.376	8.695	S_0011_3_0001
-227.237	-186.893	9.533	S_0011_4_0001
-167.474	-158.493	15.606	S_0012_0001
-259.366	-185.045	5.395	S_0012_1_0001
-225.438	-190.322	4.075	S_0012_2_0001
-118.598	-145.849	16.769	S_0012_3_0001
-202.361	-179.825	12.788	S_0012_4_0001
-248.741	-191.788	7.725	S_0013_0001
-273.403	-196.454	4.099	S_0013_1_0001
-213.100	-179.644	8.813	S_0013_2_0001
-206.976	-175.916	10.692	S_0013_3_0001
-254.431	-183.786	9.633	S_0013_4_0001
-256.521	-193.204	4.549	S_0014_0001
24709.751	-144.712	17.603	S_0014_1_0001
-240.886	-186.289	4.232	S_0014_2_0001
-256.732	-187.979	11.180	S_0014_3_0001
-149.233	-146.880	15.669	S_0014_4_0001
-258.977	-189.007	4.894	S_0015_0001
-205.733	-167.399	9.572	S_0015_1_0001
-200.980	-184.023	7.576	S_0015_2_0001
-221.722	-173.949	7.806	S_0015_3_0001
24700.410	-125.619	13.829	S_0015_4_0001
-232.134	-176.769	10.974	S_0016_0001
-244.252	-187.226	5.891	S_0016_1_0001
24697.096	-146.219	15.187	S_0016_2_0001
-265.406	-192.178	4.230	S_0016_3_0001
-197.822	-164.071	9.740	S_0016_4_0001
-187.312	-153.487	14.272	S_0017_0001
-231.214	-176.965	6.352	S_0017_1_0001
24682.743	-151.124	14.895	S_0017_2_0001
-189.172	-144.757	8.710	S_0017_3_0001
-195.517	-167.459	10.371	S_0017_4_0001
-209.691	-197.620	5.162	S_0018_0001
-258.893	-192.267	7.994	S_0018_1_0001
24705.497	-151.518	12.154	S_0018_2_0001
24698.912	-142.321	15.252	S_0018_3_0001
-240.159	-187.936	4.116	S_0018_4_0001
-222.166	-172.876	8.596	S_0019_0001
-230.268	-189.762	9.109	S_0019_1_0001
-230.806	-187.121	9.751	S_0019_2_0001
-214.897	-175.962	3.151	S_0019_3_0001
-216.138	-183.073	10.085	S_0019_4_0001
-138.403	-145.257	15.891	S_0020_0001
-203.986	-146.088	8.452	S_0020_1_0001
-98.446	-120.502	19.163	S_0020_2_0001
-244.745	-187.573	3.797	S_0020_3_0001
-226.561	-186.209	6.441	S_0020_4_0001
-227.567	-192.265	8.222	S_0021_0001
24729.712	-142.134	15.863	S_0021_1_0001
-185.841	-159.463	9.919	S_0021_2_0001
-245.021	-174.218	7.994	S_0021_3_0001
