3PBL_ETQ_0001 -790.607 0.762 -9.330
3PBL_ETQ_0002 -782.169 0.193 -11.510
3PBL_ETQ_0003 -786.716 0.302 -10.662
3PBL_ETQ_0004 -786.743 0.192 -11.754
3PBL_ETQ_0005 -788.720 0.181 -11.736
3PBL_ETQ_0001 -770.121 1.026 -8.103
3PBL_ETQ_0002 -788.469 0.211 -11.997
3PBL_ETQ_0003 -787.286 0.109 -12.007
3PBL_ETQ_0004 -784.618 0.144 -12.085
3PBL_ETQ_0005 -779.246 0.165 -12.022
3PBL_ETQ_0006 -774.120 0.701 -9.972
3PBL_ETQ_0007 -785.041 0.151 -11.773
3PBL_ETQ_0008 -762.497 1.916 -3.293
3PBL_ETQ_0009 -792.405 0.099 -11.628
3PBL_ETQ_0010 -783.590 0.198 -11.976
3PBL_ETQ_0011 -773.457 0.330 -7.969
3PBL_ETQ_0012 -783.837 0.299 -11.739
3PBL_ETQ_0013 -787.514 0.148 -11.282
3PBL_ETQ_0014 -788.414 0.179 -11.412
3PBL_ETQ_0015 -787.202 0.105 -12.116
3PBL_ETQ_0016 -778.426 0.211 -11.345
3PBL_ETQ_0017 -788.664 0.106 -11.325
3PBL_ETQ_0018 -790.779 0.103 -11.285
3PBL_ETQ_0019 -792.565 0.121 -11.830
3PBL_ETQ_0020 -790.232 0.168 -11.797
3PBL_ETQ_0021 -783.705 0.731 -9.448
3PBL_ETQ_0022 -781.141 0.167 -11.325
3PBL_ETQ_0023 -784.096 0.253 -11.822
3PBL_ETQ_0024 -800.584 0.123 -12.110
3PBL_ETQ_0025 -765.622 0.216 -10.888
3PBL_ETQ_0026 -782.843 0.204 -11.465
3PBL_ETQ_0027 -790.962 0.298 -11.924
3PBL_ETQ_0028 -782.513 0.158 -12.052
3PBL_ETQ_0029 -765.908 0.916 -7.424
3PBL_ETQ_0030 -790.295 0.138 -11.728
3PBL_ETQ_0031 -786.860 0.228 -11.582
3PBL_ETQ_0032 -780.557 0.131 -11.502
3PBL_ETQ_0033 -797.687 0.166 -11.393
3PBL_ETQ_0034 -781.089 0.152 -11.816
3PBL_ETQ_0035 -784.418 0.194 -11.310
3PBL_ETQ_0036 -789.441 0.265 -11.446
3PBL_ETQ_0037 -785.468 0.264 -11.698
3PBL_ETQ_0038 -787.334 0.363 -10.148
3PBL_ETQ_0039 -792.179 0.189 -11.562
3PBL_ETQ_0040 -783.818 0.190 -11.709
3PBL_ETQ_0041 -783.745 0.310 -11.638
3PBL_ETQ_0042 -785.219 0.167 -11.887
3PBL_ETQ_0043 -784.140 0.153 -12.128
3PBL_ETQ_0044 -788.268 0.211 -12.039
3PBL_ETQ_0045 -783.715 0.166 -11.337
3PBL_ETQ_0046 -783.052 0.202 -11.136
3PBL_ETQ_0047 -734.345 0.850 2.049
3PBL_ETQ_0048 -763.626 2.449 -6.457
3PBL_ETQ_0049 -765.747 0.684 -7.311
3PBL_ETQ_0050 -787.954 0.265 -11.762
